rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
17116754,Silver Grove Dari Bar,East End/Mount Washington,"['Burger', 'Desserts']",Inexpensive,3.5,11
17116772,Saxbys Coffee Newport On The Levee,Campbell County,"['Coffee and Tea', 'Tea']",Inexpensive,3.0,3
17116827,Hot Head Burritos,Fairfield,"['Fast Food', 'Tex-Mex']",Inexpensive,3.1,7
17117072,Digg's Bar & Grill,Mason,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,3.2,9
17117667,Flavors Eatery,Lebanon,"['American', 'Pizza', 'Sandwich']",Inexpensive,3.1,6
17117880,Sea Sushi & Grill,Florence,"['Asian', 'Japanese', 'Sushi']",Moderately_priced,3.2,6
17114014,Norwood Delite Creamy Whip,Norwood,"['Desserts', 'Sandwich']",Inexpensive,3.8,10
17117430,Cocos Mexican Restaurant Bar & Grill,Hamilton,['Mexican'],Inexpensive,3.3,6
17117791,Envision Cinemas,Blue Ash,['Bar Food'],Moderately_priced,3.0,4
17113690,Lynna's Grill,Covington,"['American', 'Chili']",Inexpensive,3.5,6
17117416,Pholicious,Florence,['Vietnamese'],Inexpensive,3.3,7
17117101,Twisty Grill,Campbell County,"['Burger', 'Desserts', 'Pizza']",Inexpensive,3.1,5
17113664,Loose Moose Cottage,Mason,['American'],Priciest,2.7,7
17117276,Overtime Bar & Grill,Fairfield,"['Burger', 'Bar Food', 'Sandwich']",Moderately_priced,3.2,5
18452657,BurgerFi,Downtown,"['American', 'Burger', 'Ice Cream']",Moderately_priced,3.0,4
17117482,Marty's Waffles,Cold Spring/Alexandria,"['Breakfast', 'Desserts']",Inexpensive,3.2,4
17113617,Linda's Village Kettle,Carthage,['American'],Inexpensive,3.5,7
17113762,Mary's Place,Florence,['American'],Inexpensive,3.3,6
17116909,Sunshine Fine Foods,Downtown,"['Sandwich', 'Healthy Food']",Inexpensive,3.3,7
17114215,Penn Station East Coast Subs,Hyde Park/Mount Lookout,"['Fast Food', 'Sandwich']",Inexpensive,3.3,9
17115475,Powerhouse Pizza,Camden,['Pizza'],Moderately_priced,3.6,7
17115890,Papa D's Pizza,Hebron,['Pizza'],Moderately_priced,3.5,10
17114472,River City Grille,Mason,"['Breakfast', 'Bar Food', 'Sandwich']",Moderately_priced,3.4,9
17115557,Harrison Home Bakery,Harrison,[],Inexpensive,3.4,8
17116352,Fuel Coffee,Campbell County,"['Breakfast', 'Coffee and Tea']",Inexpensive,3.5,9
17116789,Diane's Cake Candy Cookie,Cheviot/Westwood,['Desserts'],Inexpensive,3.1,5
17116952,Hot Head Burritos,Crescent Springs/Fort Wright,"['Fast Food', 'Tex-Mex']",Inexpensive,3.3,9
17115134,Wedge Inn,Colerain Township,['American'],Inexpensive,3.5,6
17117129,Lindenwald Station,Hamilton,"['American', 'Breakfast', 'Diner']",Inexpensive,3.5,7
17117055,Empress Chili,Cheviot/Westwood,"['Sandwich', 'Chili']",Inexpensive,3.4,6
17116342,Marco's Pizza,West Chester,['Pizza'],Inexpensive,3.3,8
17115072,United Dairy Farmers,Norwood,['Desserts'],Inexpensive,3.3,9
17116010,Newport Syndicate,Campbell County,['Italian'],Pricey,2.5,9
17116393,Godiva Chocolatier,Deer Park/Madeira,['Desserts'],Pricey,3.2,9
17116773,Mama Made It Kettle Corn,Over-the-Rhine/Mount Auburn,['Desserts'],Inexpensive,3.2,7
17117034,Lavida's Extra Touch Deli,Walnut Hills/Mount Adams,"['American', 'Southern']",Inexpensive,3.2,7
